"id","components"
"delete-dataset-title","components/delete-dataset-modal/delete-dataset-modal.component.html"
"delete-dataset-prompt","components/delete-dataset-modal/delete-dataset-modal.component.html"
"no-datasets-prompt","pages/dataset-list-page/dataset-list-page.component.html"
"c18dd7646e35e3f8fd53ad75161aa76e4537650e",""
"coordinate-type-modal:coordinate-position","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-measurement","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-measurement-radius","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-measurement-area","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:specify-size","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-area","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-radius","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:size-hint","components/coordinate-type-modal/coordinate-type-modal.component.html"
"coordinate-type-modal:square:edge-length","components/coordinate-type-modal/coordinate-type-modal.component.html"
"add-range-map","pages/dataset-detail-page/dataset-detail-page.component.html"
"finalize","pages/range-map-finalize/range-map-finalize.component.html, pages/dataset-detail-page/dataset-detail-page.component.html, components/range-map-finalize-modal/range-map-finalize-modal.component.html, components/finalize-dataset-modal/finalize-dataset-modal.component.html"
"harmonize","pages/dataset-detail-page/dataset-detail-page.component.html, components/harmonizer-instructions-modal/harmonizer-instructions-modal.component.html"
"dataset-detail-no-features","pages/dataset-detail-page/dataset-detail-page.component.html"
"dataset-detail-dataset-not-finalized-alert","pages/dataset-detail-page/dataset-detail-page.component.html"
"dataset-detail-private-permissions-alert","pages/dataset-detail-page/dataset-detail-page.component.html"
"overview","pages/dataset-detail-page/dataset-detail-page.component.html"
"map","pages/dataset-detail-page/dataset-detail-page.component.html"
"permissions","pages/dataset-detail-page/dataset-detail-page.component.html, components/permissions-modal/permissions-modal.component.html"
"features","pages/dataset-detail-page/dataset-detail-page.component.html"
"there-was-a-problem","pages/dataset-detail-page/dataset-detail-page.component.html"
"dataset-detail-page-error-processing","pages/dataset-detail-page/dataset-detail-page.component.html"
"dataset-detail-error-contact","pages/dataset-detail-page/dataset-detail-page.component.html"
"try-again","pages/dataset-detail-page/dataset-detail-page.component.html"
"update","pages/range-map-finalize/range-map-finalize.component.html"
"occurrences",""
"finalize-dataset-modal:title","components/finalize-dataset-modal/finalize-dataset-modal.component.html"
"finalize-dataset-modal:info","components/finalize-dataset-modal/finalize-dataset-modal.component.html"
"taxonomy-update:taxonomy-selected","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"53d729477e0e7cabfcc7d9fcdb12592daf294fb5",""
"taxonomy-update:select-taxonomy-option","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"b6667376779a16e29a6f0cecad1c3710fb81916a",""
"taxonomy-update:re-check","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"taxonomy-update:unmatched","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"something-went-wrong","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"back-to-dataset-overview","pages/taxonomy-update-page/taxonomy-update-page.component.html, pages/range-map-finalize/range-map-finalize.component.html"
"view-your-datasets","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"taxonomy-update:dataset-saved-success","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"taxonomy-update:dataset-uploaded-success","pages/taxonomy-update-page/taxonomy-update-page.component.html"
"range-map-landing:title","pages/range-map-landing-page/range-map-landing-page.component.html"
"quick-info","pages/range-map-landing-page/range-map-landing-page.component.html, components/quick-info/quick-info.component.html"
"detailed-instructions","pages/range-map-landing-page/range-map-landing-page.component.html"
"continue","components/range-map-info-modal/range-map-info-modal.component.html"
"submit-range-map:feature-complete","components/submit-range-map-modal/submit-range-map-modal.component.html"
"dataset-overview","components/submit-range-map-modal/submit-range-map-modal.component.html, components/display-dataset-overview/display-dataset-overview.component.html"
"submit-range-map:add-range-map","components/submit-range-map-modal/submit-range-map-modal.component.html"
"new-range-map","pages/range-map-draw-page/range-map-draw-page.component.html"
"edit-range-map","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:start-here","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:enter-species-name","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:only-one-species-per-map","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:species-name-must-be-binomial-alert","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:mol-layers","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-draw:reference-layers","pages/range-map-draw-page/range-map-draw-page.component.html"
"range-map-finalize-modal:description","components/range-map-finalize-modal/range-map-finalize-modal.component.html"
"finalizing","components/range-map-finalize-modal/range-map-finalize-modal.component.html"
"range-map-finalize-modal:error-finalizing","components/range-map-finalize-modal/range-map-finalize-modal.component.html"
"range-map:finalize-description","pages/range-map-finalize/range-map-finalize.component.html"
"update-metadata","pages/range-map-finalize/range-map-finalize.component.html"
"update-taxonomy","pages/range-map-finalize/range-map-finalize.component.html"
"welcome-!","pages/landing-page/landing-page.component.html"
"landing-page:welcome-text","pages/landing-page/landing-page.component.html"
"get-started","pages/landing-page/landing-page.component.html"
"instructions-manual","pages/landing-page/landing-page.component.html"
"no-match","components/match-columns-dialog/match-columns-dialog.component.html"
"optional","components/range-map-metadata-edit/range-map-metadata-edit.component.html, components/points-metadata-edit/points-metadata-edit.component.html, components/match-columns-dialog/match-columns-dialog.component.html, components/inventory-metadata-edit/inventory-metadata-edit.component.html"
"match-columns-no-recorded-by","components/match-columns-dialog/match-columns-dialog.component.html"
"match-columns-recorded-by-info","components/match-columns-dialog/match-columns-dialog.component.html"
"files-form:basic-info:form:spatial-data-format","components/files-form/files-form.component.html"
"shapefile","components/files-form/files-form.component.html"
"coordinates","components/files-form/files-form.component.html"
"files-form:basic-info:form:spatial-data-format-hint","components/files-form/files-form.component.html"
"files-form:upload-files:error-title","components/files-form/files-form.component.html"
"files-form:upload-files:error-text","components/files-form/files-form.component.html"
"files-form:see-instructions","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:two-file-info","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:could-not-process-data","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:matching-terms","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:fix-match-errors","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:matching-errors-list","components/files-form/files-form.component.html"
"files-form:match-columns-step:instructions:occurrence","components/files-form/files-form.component.html"
"files-form:review-geometry:form:file-size-too-large-error","components/files-form/files-form.component.html"
"files-form:review-geometry:form:no-features-error","components/files-form/files-form.component.html"
"metadata-sections:endemic-info","components/metadata-sections/additional-info-section/additional-info-section.component.html"
"metadata-sections:endemic-tooltip","components/metadata-sections/additional-info-section/additional-info-section.component.html"
"metadata-sections:completeness:reason-for-no-completeness","components/metadata-sections/completeness-section/completeness-section.component.html"
"metadata-sections:license:license-holder","components/metadata-sections/license-section/license-section.component.html"
"metadata-sections:license:license-holder-hint","components/metadata-sections/license-section/license-section.component.html"
"metadata-sections:methods:inventories-compilations-both:inventories-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:inventories-compilations-both:compilation-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:inventories-compilations-both:both-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:restricted","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:open-search","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:opportunistic-search","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:trap","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:adventitious","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:incidental","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:hint","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:expert-knowledge","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:primary-literature","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:museum-specimens","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:other","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:placeholder","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:hint","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:compilation-effort","components/metadata-sections/methods-section/methods-section.component.html"
"low","components/metadata-sections/methods-section/methods-section.component.html"
"medium","components/metadata-sections/methods-section/methods-section.component.html"
"high","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:compilation-effort:placeholder","components/metadata-sections/methods-section/methods-section.component.html"
"b60f58879a4f183015be1d1a2811e9c1023aae0c",""
"0bef1212fd895b43b0bf3c0231fbac7c14beda6e",""
"metdata-sections:permissions:dataset-private-alert","components/metadata-sections/permissions-section/permissions-section.component.html"
"metadata-sections:survey-protocol","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:survey-protocol:survey-methods:title","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:survey-protocol:survey-methods:tooltip","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:diurnal","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:nocturnal","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:both","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"permissions-modal-title","components/permissions-modal/permissions-modal.component.html"
"locations","components/display-dataset-overview/display-dataset-overview.component.html"
"dataset-overview:unique-site-counts","components/display-dataset-overview/display-dataset-overview.component.html"
"location","components/display-dataset-overview/display-dataset-overview.component.html"
"dataset-metdata-tab:uploaded-by","components/display-dataset-metadata/display-dataset-metadata.component.html"
"edit-metadata","components/display-dataset-metadata/display-dataset-metadata.component.html"
"all","components/display-dataset-map/display-dataset-map.component.html"
"region","components/display-dataset-map/display-dataset-map.component.html"
"feature","pages/dataset-detail-page/dataset-detail-page.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html, components/display-dataset-map/display-dataset-map.component.html"
"number-of-species","components/display-dataset-map/display-dataset-map.component.html"
"dataset-map:color-by","components/display-dataset-map/display-dataset-map.component.html"
"less","components/display-dataset-map/display-dataset-map.component.html"
"more","components/display-dataset-map/display-dataset-map.component.html"
"metadata-instructions-dialog-instructions","components/metadata-instructions-dialog/metadata-instructions-dialog.component.html"
"close","components/metadata-instructions-dialog/metadata-instructions-dialog.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:range-map-landing:title","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:range-map-landing:title:tooltip","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:range-map-landing:select-taxonomic-group","components/range-map-landing-form/range-map-landing-form.component.html"
