country,protected_area_name,wdpa_name,region_id,plan_year,title_en,title_es,url
Peru ,Reserva Nacional Alpahuayo Mishana,Allpahuayo Mishana,d65e7f70-a417-405c-b538-df937fe9552e,Plan Maestro 2013 - 2018,Management Plan for Alpahuayo Mishana National Reserve,Plan Maestro de la Reserva Nacional Alpahuayo Mishana  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=881
Peru ,Bosque de Protección Alto Mayo,Alto Mayo,dc2f0319-2b22-450a-92b0-ae67a450e2d3,Plan Maestro 2008 - 2013,Management Plan for Alto Mayo Protection Forest,Plan Maestro del Bosque de Protección Alto Mayo  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=360
Peru ,Parque Nacional Alto Purús,Alto Purús,72f6364d-872e-46a4-96cf-8f9b400e450f,Plan Maestro 2012 - 2017,Management Plan for Alto Purús National Park,Plan Maestro del Parque Nacional Alto Purús  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1080
Peru ,Reserva Comunal Amarakaeri,Amarakaeri,79853018-37d1-4c30-865d-a3499db6c3f9,Plan Maestro 2016 -  2020,Management Plan for Amarakaeri Communal Reserve,Plan Maestro de la Reserva Comunal Amarakaeri  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1157
Peru ,Santuario Nacional de Ampay,de Ampay,aaaa02aa-426f-4802-9f5b-3a4cd38ee92a,Plan Maestro 2015 - 2019,Management Plan for de Ampay National Sanctuary,Plan Maestro del Santuario Nacional de Ampay  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=855
Peru ,Reserva Communal Asháninka,Ashaninka,a6a535c5-24d6-4153-87bd-aca8867994d2,Plan Maestro 2012 - 2017,Management Plan for Asháninka Communal Reserve,Plan Maestro de la Reserva Communal Asháninka  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=879
Peru ,Parque Nacional Bahuaja-Sonene,Bahuaja Sonene,9cb276f0-2535-470a-ab67-49454e3c4efa,Plan Maestro 2015 - 2019,Management Plan for Bahuaja-Sonene National Park,Plan Maestro del Parque Nacional Bahuaja-Sonene  ,http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-bahuaja-sonene-periodo-2015-2019
Peru ,Santuario Histórico Bosque de Pómac,Bosque de Pómac,632d4d65-4db9-445c-be9f-a41455bfaf41,Plan Maestro 2017 - 2021,Management Plan for Bosque de Pomac Historic Sanctuary,Plan Maestro del Santuario Histórico Bosque de Pómac  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1563
Peru ,Refugio de Vida Silvestre Bosques Nublados de Udima,Bosques Nublados de Udima Sector Centro,e437d1bb-0569-49b9-be98-709bba708598,Plan Maestro 2015 - 2019,Management Plan for Bosques Nublados de Udima Wildlife Refuge,Plan Maestro del Refugio de Vida Silvestre Bosques Nublados de Udima  ,http://sinia.minam.gob.pe/documentos/plan-maestro-refugio-vida-silvestre-bosques-nublados-udima-periodo
Peru ,Reserva Nacional de Calipuy,de Calipuy,99b3e9f5-d64d-45ac-86ba-ad32ce6df35c,Plan Maestro 2015 - 2019,Management Plan for Calipuy National Reserve,Plan Maestro de la Reserva Nacional de Calipuy  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=921
