country,wdpa_name,guide_number,id,url,title_en,title_es,wdpa_id,region_id
Colombia,Amacayacu,704,fg_704,http://fieldguides.fieldmuseum.org/guides/guide/704,Amphibians and Reptiles of Amacayacu National Park,Anfibios y Reptiles del Parque Nacional Amacayacu,135,905cf794-32c5-485c-96f5-b4d2954e5faf
Colombia,Amacayacu,427,fg_427,http://fieldguides.fieldmuseum.org/guides/guide/427,Reptiles of Tanimboca,Reptiles de la Reserva Natural Tanimboca,135,905cf794-32c5-485c-96f5-b4d2954e5faf
Colombia,Chicaque,683,fg_683,http://fieldguides.fieldmuseum.org/guides/guide/683,Birds of Chicaque Natural Park,Aves del Parque Natural Chicaque,555555938,78ac94dc-0024-41bc-9897-0d2c96c9bc0d
Colombia,Gorgona,437,fg_437,http://fieldguides.fieldmuseum.org/guides/guide/437,Lichens of Gorgona Island,Líquenes de la Isla de Gorgona,10754,dd9816aa-458c-4e59-bce6-23a2005fa854
Colombia,Los Farallones de Cali,973,fg_973,http://fieldguides.fieldmuseum.org/guides/guide/973,Ericaceae and Gesneriaceae of Farallones de Cali National Park,Ericáceas y Gesneriáceas del Parque Nacional Farallones de Cali,138,6c85db39-258d-4659-9048-2fe05285f298
Colombia,Los Farallones de Cali,922,fg_922,http://fieldguides.fieldmuseum.org/guides/guide/922,Gesneriaceae of the Rio Anchicayá Basin,Gesneriaceae del Río Anchicayá,138,6c85db39-258d-4659-9048-2fe05285f298
Colombia,Los Farallones de Cali,577,fg_577,http://fieldguides.fieldmuseum.org/guides/guide/577,Melastomataceae of Farrallones de Cali,Melastomataceae de Farrallones de Cali,138,6c85db39-258d-4659-9048-2fe05285f298
Colombia,Rio Pure,249,fg_249,http://fieldguides.fieldmuseum.org/guides/guide/249,Butterflies of Amazonia (Hesperiidae),Mariposas: Hesperiidae de la Amazonía,303547,56265c2a-7c1a-4c88-b038-4ebf89d9e49d
Colombia,Rio Pure,225,fg_225,http://fieldguides.fieldmuseum.org/guides/guide/225,Butterflies of Amazonia (Lycaenidae),Mariposas: Lycaenidae de la Amazonía,303547,56265c2a-7c1a-4c88-b038-4ebf89d9e49d
Colombia,Rio Pure,206,fg_206,http://fieldguides.fieldmuseum.org/guides/guide/206,"Butterflies of Amazonia (Nymphalidae, Biblidinae)",Mariposas: Nymphalidae: Biblidinae de la Amazonía,303547,56265c2a-7c1a-4c88-b038-4ebf89d9e49d
Colombia,Rio Pure,201,fg_201,http://fieldguides.fieldmuseum.org/guides/guide/201,"Butterflies of Amazonia (Nymphalidae, Brassolinae, Morphinae)",Mariposas: Nymphalidae: Brassolinae y Morphinae  de la Amazonía,303547,56265c2a-7c1a-4c88-b038-4ebf89d9e49d
